53|0|1|1|0|0|7|0|0;4;-0.504108
53|0|1|1|0|0|7|0|0;5;-0.219
53|0|1|1|0|0|7|0|0;6;-0.664292
53|0|1|1|0|0|7|0|0;7;9.9
53|0|1|1|0|0|7|0|0;8;-0.43987
53|0|1|1|0|0|7|0|0;9;0.9
53|0|1|1|0|0|7|0|0;16;-0.2
53|0|1|1|0|0|7|0|0;17;-0.2
53|0|1|1|0|0|8|0|0;1;-0.2
53|0|1|1|0|0|8|0|0;2;-0.2
53|0|1|1|0|0|8|0|0;3;-0.61921
53|0|1|1|0|0|8|0|0;4;-0.2
53|0|1|1|0|0|8|0|0;5;-0.2
53|0|1|1|0|0|8|0|0;6;-0.219
53|0|1|1|0|0|8|0|0;7;-0.400976
53|0|1|1|0|0|8|0|0;8;9.9
53|0|1|1|0|0|8|0|0;9;0.9
53|0|1|1|0|0|8|0|0;16;-0.2
53|0|1|1|0|0|8|0|0;17;-0.2
53|0|1|1|1|1|8|0|0;2;-0.2
53|0|1|1|1|1|8|0|0;3;-0.2
53|0|1|1|1|1|8|0|0;4;-0.2
53|0|1|1|1|1|8|0|0;5;-0.219
53|0|1|1|1|1|8|0|0;6;-0.219
53|0|1|1|1|1|8|0|0;7;-0.2
53|0|1|1|1|1|8|0|0;15;19.9
53|0|1|1|1|1|8|0|0;16;-0.2
53|0|1|1|1|2|8|0|0;1;-0.2
53|0|1|1|1|2|8|0|0;2;-0.2
53|0|1|1|1|2|8|0|0;3;-0.2
53|0|1|1|1|2|8|0|0;4;-0.2
53|0|1|1|1|2|8|0|0;5;-0.219
53|0|1|1|1|2|8|0|0;6;-0.2
53|0|1|1|1|2|8|0|0;7;-0.2
53|0|1|1|1|2|8|0|0;9;0.9
53|0|1|1|1|2|8|0|0;15;9.9
53|0|1|1|1|3|8|0|0;1;-0.2
53|0|1|1|1|3|8|0|0;2;-0.38
53|0|1|1|1|3|8|0|0;3;-0.2
53|0|1|1|1|3|8|0|0;4;-0.3971
53|0|1|1|1|3|8|0|0;5;-0.2
53|0|1|1|1|3|8|0|0;6;-0.2
53|0|1|1|1|3|8|0|0;7;-0.2
53|0|1|1|1|3|8|0|0;9;0.9
53|0|1|1|1|3|8|0|0;15;9.9
53|0|1|1|1|3|8|0|0;16;-0.2
53|0|1|1|1|4|7|0|0;4;-0.38
53|0|1|1|1|4|7|0|0;5;-0.2
53|0|1|1|1|4|7|0|0;6;-0.2
53|0|1|1|1|4|7|0|0;8;-0.2
53|0|1|1|1|4|7|0|0;15;9.9
53|0|1|1|1|4|7|0|0;16;-0.38
53|0|1|1|1|4|7|0|0;17;-0.2
53|0|1|1|1|4|8|0|0;1;-0.790894
53|0|1|1|1|4|8|0|0;2;-0.2
53|0|1|1|1|4|8|0|0;3;-0.38
53|0|1|1|1|4|8|0|0;4;-0.2
53|0|1|1|1|4|8|0|0;5;-0.2
53|0|1|1|1|4|8|0|0;6;-0.2
53|0|1|1|1|4|8|0|0;7;-0.2
53|0|1|1|1|4|8|0|0;9;0.9
53|0|1|1|1|4|8|0|0;15;19.9
53|0|1|1|1|4|8|0|0;16;-0.2
53|0|1|1|1|4|8|0|0;17;-0.2
53|0|1|1|1|5|7|0|0;4;-0.2
53|0|1|1|1|5|7|0|0;5;-0.2
53|0|1|1|1|5|7|0|0;6;-0.2
53|0|1|1|1|5|7|0|0;8;-0.2
53|0|1|1|1|5|7|0|0;15;9.9
53|0|1|1|1|5|7|0|0;16;-0.2
53|0|1|1|1|5|7|0|0;17;-0.2
53|0|1|1|1|5|8|0|0;1;-0.978727
53|0|1|1|1|5|8|0|0;2;-0.2
53|0|1|1|1|5|8|0|0;3;-0.559014
53|0|1|1|1|5|8|0|0;4;-0.2
53|0|1|1|1|5|8|0|0;5;-0.2
53|0|1|1|1|5|8|0|0;6;-0.2
53|0|1|1|1|5|8|0|0;7;-0.2
53|0|1|1|1|5|8|0|0;9;0.9
53|0|1|1|1|5|8|0|0;15;9.9
53|0|1|1|1|5|8|0|0;16;-0.2
53|0|1|1|1|5|8|0|0;17;-0.2
53|0|1|1|1|6|7|0|0;4;-0.542
53|0|1|1|1|6|7|0|0;5;-0.2
53|0|1|1|1|6|7|0|0;6;-0.2
53|0|1|1|1|6|7|0|0;8;-0.2
53|0|1|1|1|6|7|0|0;15;9.9
53|0|1|1|1|6|7|0|0;16;-0.2
53|0|1|1|1|6|7|0|0;17;-0.2
53|0|1|1|1|6|8|0|0;1;-0.2
53|0|1|1|1|6|8|0|0;2;-0.2361
53|0|1|1|1|6|8|0|0;3;-0.2
53|0|1|1|1|6|8|0|0;4;-0.2
53|0|1|1|1|6|8|0|0;5;-0.81902
53|0|1|1|1|6|8|0|0;6;-1.03084
53|0|1|1|1|6|8|0|0;7;-0.219
53|0|1|1|1|6|8|0|0;9;0.9
53|0|1|1|1|6|8|0|0;15;28.81
53|0|1|1|1|6|8|0|0;16;-0.2
53|0|1|1|1|6|8|0|0;17;-0.2
53|0|1|1|1|7|7|0|0;6;-0.2
53|0|1|1|1|7|8|0|0;1;-0.237905
53|0|1|1|1|7|8|0|0;2;-0.2
53|0|1|1|1|7|8|0|0;3;-0.2
53|0|1|1|1|7|8|0|0;4;-0.2
53|0|1|1|1|7|8|0|0;5;-0.219
53|0|1|1|1|7|8|0|0;6;-0.2
53|0|1|1|1|7|8|0|0;7;-0.2
53|0|1|1|1|7|8|0|0;15;19.9
53|0|1|1|1|8|7|0|0;4;-0.2
53|0|1|1|1|8|7|0|0;5;-0.2
53|0|1|1|1|8|7|0|0;6;-0.2
53|0|1|1|1|8|7|0|0;15;9.9
53|0|1|1|1|8|7|0|0;16;-0.2
53|0|1|1|1|8|8|0|0;4;-0.2
53|0|1|1|1|8|8|0|0;5;-0.2
53|0|1|1|1|8|8|0|0;6;-0.2
53|0|1|1|1|8|8|0|0;7;-0.2
53|0|1|1|1|8|8|0|0;15;9.9
53|0|1|1|1|8|8|0|0;16;-0.399
53|0|1|1|1|8|8|0|0;17;-0.2
53|0|1|1|2|1|8|0|0;1;-0.2
53|0|1|1|2|1|8|0|0;2;-0.2
53|0|1|1|2|1|8|0|0;3;-0.2
53|0|1|1|2|1|8|0|0;4;-0.2
53|0|1|1|2|1|8|0|0;5;-0.2
53|0|1|1|2|1|8|0|0;6;-0.2
53|0|1|1|2|1|8|0|0;7;-0.2
53|0|1|1|2|1|8|0|0;15;9.9
53|0|1|1|2|1|8|0|0;16;-0.2
53|0|1|1|2|1|8|0|0;17;-0.2
53|0|1|1|2|2|8|0|0;1;-0.2
53|0|1|1|2|2|8|0|0;2;-0.2
53|0|1|1|2|2|8|0|0;3;-0.2
53|0|1|1|2|2|8|0|0;4;-0.2
53|0|1|1|2|2|8|0|0;5;-0.2
53|0|1|1|2|2|8|0|0;6;-0.2
53|0|1|1|2|2|8|0|0;7;-0.2
53|0|1|1|2|2|8|0|0;9;0.9
53|0|1|1|2|2|8|0|0;15;9.9
53|0|1|1|2|2|8|0|0;16;-0.2
53|0|1|1|2|3|8|0|0;1;-0.2
53|0|1|1|2|3|8|0|0;2;-0.2
53|0|1|1|2|3|8|0|0;3;-0.2
53|0|1|1|2|3|8|0|0;4;-0.2
53|0|1|1|2|3|8|0|0;5;-0.2
53|0|1|1|2|3|8|0|0;6;-0.2
53|0|1|1|2|3|8|0|0;7;-0.2
53|0|1|1|2|3|8|0|0;15;9.9
53|0|1|1|2|3|8|0|0;16;-0.2
53|0|1|1|2|3|8|0|0;17;-0.2
53|0|1|1|2|4|8|0|0;1;-0.2
53|0|1|1|2|4|8|0|0;2;-0.2
53|0|1|1|2|4|8|0|0;3;-0.2
53|0|1|1|2|4|8|0|0;5;-0.2
53|0|1|1|2|4|8|0|0;6;-0.2
53|0|1|1|2|4|8|0|0;7;-0.2
53|0|1|1|2|5|8|0|0;1;-0.2
53|0|1|1|2|5|8|0|0;5;-0.2
53|0|1|1|2|5|8|0|0;6;-0.2
53|0|1|1|2|5|8|0|0;7;-0.2
53|0|1|1|2|6|8|0|0;1;-0.241342
53|0|1|1|2|6|8|0|0;2;-0.2
53|0|1|1|2|6|8|0|0;3;-0.2
53|0|1|1|2|6|8|0|0;4;-0.2
53|0|1|1|2|6|8|0|0;5;-0.219
53|0|1|1|2|6|8|0|0;6;-0.6878
53|0|1|1|2|6|8|0|0;7;-0.38
53|0|1|1|2|6|8|0|0;15;9.9
53|0|1|1|2|6|8|0|0;16;-0.2
53|0|1|1|2|6|8|0|0;17;-0.2
53|0|1|1|2|7|8|0|0;1;-0.2
53|0|1|1|2|7|8|0|0;2;-0.219
53|0|1|1|2|7|8|0|0;3;-0.2
53|0|1|1|2|7|8|0|0;4;-0.2
53|0|1|1|2|7|8|0|0;5;-0.2
53|0|1|1|2|7|8|0|0;6;-0.2
53|0|1|1|2|7|8|0|0;7;-0.2
53|0|1|1|2|7|8|0|0;15;9.9
53|0|1|1|2|7|8|0|0;16;-0.2
53|0|1|1|2|7|8|0|0;17;-0.2
53|0|1|2|0|0|7|0|0;4;-0.417905
53|0|1|2|0|0|7|0|0;5;-0.602863
53|0|1|2|0|0|7|0|0;6;-0.2
53|0|1|2|0|0|7|0|0;7;9.9
53|0|1|2|0|0|7|0|0;8;-0.869039
53|0|1|2|0|0|7|0|0;9;0.9
53|0|1|2|0|0|7|0|0;16;-0.597005
53|0|1|2|0|0|7|0|0;17;-0.2
53|0|1|2|0|0|8|0|0;1;-0.602066
53|0|1|2|0|0|8|0|0;2;-0.400805
53|0|1|2|0|0|8|0|0;3;-0.41953
53|0|1|2|0|0|8|0|0;4;-0.399
53|0|1|2|0|0|8|0|0;5;-0.419529
53|0|1|2|0|0|8|0|0;6;-0.399
53|0|1|2|0|0|8|0|0;7;-0.2
53|0|1|2|0|0|8|0|0;8;9.9
53|0|1|2|0|0|8|0|0;9;0.9
53|0|1|2|0|0|8|0|0;16;-0.399
53|0|1|2|0|0|8|0|0;17;-0.2
53|0|1|2|1|1|8|0|0;1;-0.2
53|0|1|2|1|1|8|0|0;2;-0.2
53|0|1|2|1|1|8|0|0;3;-0.2
53|0|1|2|1|1|8|0|0;4;-0.2
53|0|1|2|1|1|8|0|0;5;-0.2
53|0|1|2|1|1|8|0|0;6;-0.2
53|0|1|2|1|1|8|0|0;7;-0.2
53|0|1|2|1|1|8|0|0;9;0.9
53|0|1|2|1|1|8|0|0;15;28.81
53|0|1|2|1|2|8|0|0;1;-0.2
53|0|1|2|1|2|8|0|0;2;-0.2
53|0|1|2|1|2|8|0|0;3;-0.2
53|0|1|2|1|2|8|0|0;4;-0.2
53|0|1|2|1|2|8|0|0;5;-0.2
53|0|1|2|1|2|8|0|0;6;-0.2
53|0|1|2|1|2|8|0|0;7;-0.2
53|0|1|2|1|2|8|0|0;9;0.9
53|0|1|2|1|2|8|0|0;15;19.9
53|0|1|2|1|3|8|0|0;1;-0.2
53|0|1|2|1|3|8|0|0;2;-0.219
53|0|1|2|1|3|8|0|0;3;-0.2
53|0|1|2|1|3|8|0|0;4;-0.2
53|0|1|2|1|3|8|0|0;5;-0.2
53|0|1|2|1|3|8|0|0;6;-0.2
53|0|1|2|1|3|8|0|0;7;-0.38
53|0|1|2|1|3|8|0|0;9;0.9
53|0|1|2|1|3|8|0|0;15;19.9
53|0|1|2|1|3|8|0|0;16;-0.2
53|0|1|2|1|3|8|0|0;17;-0.2
53|0|1|2|1|3|8|0|0;18;0
53|0|1|2|1|4|7|0|0;4;-0.2
53|0|1|2|1|4|7|0|0;5;-0.38
53|0|1|2|1|4|7|0|0;6;-0.2
53|0|1|2|1|4|7|0|0;8;-0.2
53|0|1|2|1|4|7|0|0;15;9.9
53|0|1|2|1|4|7|0|0;16;-0.2
53|0|1|2|1|4|7|0|0;17;-0.2
53|0|1|2|1|4|8|0|0;1;-0.2
53|0|1|2|1|4|8|0|0;2;-0.2
53|0|1|2|1|4|8|0|0;3;-0.2
53|0|1|2|1|4|8|0|0;4;-0.38
53|0|1|2|1|4|8|0|0;5;-0.2
53|0|1|2|1|4|8|0|0;6;-0.38
53|0|1|2|1|4|8|0|0;7;-0.2
53|0|1|2|1|4|8|0|0;9;0.9
53|0|1|2|1|4|8|0|0;15;18.81
53|0|1|2|1|4|8|0|0;16;-0.2
53|0|1|2|1|4|8|0|0;17;-0.2
53|0|1|2|1|5|7|0|0;4;-0.38
53|0|1|2|1|5|7|0|0;5;-0.2
53|0|1|2|1|5|7|0|0;6;-0.38
53|0|1|2|1|5|7|0|0;8;-0.2
53|0|1|2|1|5|7|0|0;15;9.9
53|0|1|2|1|5|7|0|0;16;-0.2
53|0|1|2|1|5|7|0|0;17;-0.2
53|0|1|2|1|5|8|0|0;1;-0.2
53|0|1|2|1|5|8|0|0;2;-0.2
53|0|1|2|1|5|8|0|0;3;-0.2
53|0|1|2|1|5|8|0|0;4;-0.542
53|0|1|2|1|5|8|0|0;5;-0.2
53|0|1|2|1|5|8|0|0;6;-0.2
53|0|1|2|1|5|8|0|0;7;-0.2
53|0|1|2|1|5|8|0|0;9;0.9
53|0|1|2|1|5|8|0|0;15;18.81
53|0|1|2|1|5|8|0|0;16;-0.2
53|0|1|2|1|5|8|0|0;17;-0.2
53|0|1|2|1|6|7|0|0;4;-0.3971
53|0|1|2|1|6|7|0|0;5;-0.2
53|0|1|2|1|6|7|0|0;6;-0.2
53|0|1|2|1|6|7|0|0;8;-0.399
53|0|1|2|1|6|7|0|0;15;19.9
53|0|1|2|1|6|7|0|0;16;-0.399
53|0|1|2|1|6|7|0|0;17;-0.2
53|0|1|2|1|6|8|0|0;1;-0.2
53|0|1|2|1|6|8|0|0;2;-0.2
53|0|1|2|1|6|8|0|0;3;-0.2
53|0|1|2|1|6|8|0|0;4;-0.542
53|0|1|2|1|6|8|0|0;5;-0.2
53|0|1|2|1|6|8|0|0;6;-0.2
53|0|1|2|1|6|8|0|0;7;-0.2
53|0|1|2|1|6|8|0|0;9;0.9
53|0|1|2|1|6|8|0|0;15;9.9
53|0|1|2|1|6|8|0|0;16;-0.2
53|0|1|2|1|6|8|0|0;17;-0.2
53|0|1|2|1|7|7|0|0;5;-0.400805
53|0|1|2|1|7|7|0|0;8;-0.2
53|0|1|2|1|7|7|0|0;17;-0.2
53|0|1|2|1|7|8|0|0;1;-0.2
53|0|1|2|1|7|8|0|0;2;-0.2
53|0|1|2|1|7|8|0|0;3;-0.2
53|0|1|2|1|7|8|0|0;4;-0.2
53|0|1|2|1|7|8|0|0;5;-0.2
53|0|1|2|1|7|8|0|0;6;-0.2
53|0|1|2|1|7|8|0|0;7;-0.2
